BIOGUIDE_ID,name,partyName,chamber,state,district,startYear,imageUrl,url,websiteURL,address,phoneNumber,sponsoredLegislation,cosponsoredLegislation
L000397,"Lofgren, Zoe",Democratic,House of Representatives,California,18.0,1995,https://www.congress.gov/img/member/671024d7ec807bca66057fcb_200.jpg,https://api.congress.gov/v3/member/L000397?format=json,https://lofgren.house.gov/,1401 Longworth House Office Building,(202) 225-3072,351.0,8027
L000604,"Lopez, Greg",Republican,House of Representatives,Colorado,4.0,2024,https://www.congress.gov/img/member/668e94fd658443009a697c9e_200.jpg,https://api.congress.gov/v3/member/L000604?format=json,https://lopez.house.gov/,,,5.0,54
M001225,"Mullin, Kevin",Democratic,House of Representatives,California,15.0,2023,https://www.congress.gov/img/member/m001225_200.jpg,https://api.congress.gov/v3/member/M001225?format=json,https://kevinmullin.house.gov,1404 Longworth House Office Building,(202) 225-3531,8.0,578
M001229,"McIver, LaMonica",Democratic,House of Representatives,New Jersey,10.0,2024,https://www.congress.gov/img/member/66fd489d799e1a7c06d68d62_200.jpg,https://api.congress.gov/v3/member/M001229?format=json,https://mciver.house.gov/,106 Cannon House Office Building,(202) 225-3436,,19
H001097,"Helmy, George S.",Democratic,Senate,New Jersey,,2024,https://www.congress.gov/img/member/6705445b99dce9b5b414f5d4_200.jpg,https://api.congress.gov/v3/member/H001097?format=json,https://www.helmy.senate.gov/,"528 Hart Senate Office Building Washington, DC 20510",(202) 224-4744,6.0,32
R000599,"Ruiz, Raul",Democratic,House of Representatives,California,25.0,2013,https://www.congress.gov/img/member/66e1aec832c796cea99fe06f_200.jpg,https://api.congress.gov/v3/member/R000599?format=json,https://ruiz.house.gov,2342 Rayburn House Office Building,(202) 225-5330,248.0,1722
D000594,"De La Cruz, Monica",Republican,House of Representatives,Texas,15.0,2023,https://www.congress.gov/img/member/66d9fd54f440bf1dc174fbf6_200.jpg,https://api.congress.gov/v3/member/D000594?format=json,https://delacruz.house.gov,1415 Longworth House Office Building,(202) 225-9901,30.0,313
B001288,"Booker, Cory A.",Democratic,Senate,New Jersey,,2013,https://www.congress.gov/img/member/b001288_200.jpg,https://api.congress.gov/v3/member/B001288?format=json,https://www.booker.senate.gov,"717 Hart Senate Office Building Washington, DC 20510",(202) 224-3224,743.0,3470
K000399,"Kiggans, Jennifer A.",Republican,House of Representatives,Virginia,2.0,2023,https://www.congress.gov/img/member/66b0ce45b0288a917d98f619_200.jpg,https://api.congress.gov/v3/member/K000399?format=json,https://kiggans.house.gov,1037 Longworth House Office Building,(202) 225-4215,26.0,293
S001159,"Strickland, Marilyn",Democratic,House of Representatives,Washington,10.0,2021,https://www.congress.gov/img/member/s001159_200.jpg,https://api.congress.gov/v3/member/S001159?format=json,https://strickland.house.gov,1708 Longworth House Office Building,(202) 225-9740,29.0,924
C001126,"Carey, Mike",Republican,House of Representatives,Ohio,15.0,2021,https://www.congress.gov/img/member/c001126_200.jpg,https://api.congress.gov/v3/member/C001126?format=json,https://carey.house.gov,1433 Longworth House Office Building,(202) 225-2015,32.0,393
